Grapheme	Frequency	Codepoint	UnicodeName
 	197546	U+0020	SPACE
-	9	U+002D	HYPHEN-MINUS
—	2	U+2014	EM DASH
,	21407	U+002C	COMMA
;	1011	U+003B	SEMICOLON
:	2223	U+003A	COLON
!	52	U+0021	EXCLAMATION MARK
.	6218	U+002E	FULL STOP
·	4048	U+00B7	MIDDLE DOT
'	1702	U+0027	APOSTROPHE
’	21	U+2019	RIGHT SINGLE QUOTATION MARK
“	10	U+201C	LEFT DOUBLE QUOTATION MARK
”	10	U+201D	RIGHT DOUBLE QUOTATION MARK
«	365	U+00AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
»	364	U+00BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
(	106	U+0028	LEFT PARENTHESIS
)	106	U+0029	RIGHT PARENTHESIS
[	2144	U+005B	LEFT SQUARE BRACKET
]	2144	U+005D	RIGHT SQUARE BRACKET
0	230	U+0030	DIGIT ZERO
1	57	U+0031	DIGIT ONE
2	38	U+0032	DIGIT TWO
3	14	U+0033	DIGIT THREE
4	54	U+0034	DIGIT FOUR
5	23	U+0035	DIGIT FIVE
6	12	U+0036	DIGIT SIX
7	8	U+0037	DIGIT SEVEN
8	6	U+0038	DIGIT EIGHT
9	8	U+0039	DIGIT NINE
α	83937	U+03B1	GREEK SMALL LETTER ALPHA
Α	1466	U+0391	GREEK CAPITAL LETTER ALPHA
ά	16793	U+03AC	GREEK SMALL LETTER ALPHA WITH TONOS
Ά	191	U+0386	GREEK CAPITAL LETTER ALPHA WITH TONOS
β	4106	U+03B2	GREEK SMALL LETTER BETA
Β	221	U+0392	GREEK CAPITAL LETTER BETA
γ	11965	U+03B3	GREEK SMALL LETTER GAMMA
Γ	387	U+0393	GREEK CAPITAL LETTER GAMMA
δ	12364	U+03B4	GREEK SMALL LETTER DELTA
Δ	500	U+0394	GREEK CAPITAL LETTER DELTA
ε	57147	U+03B5	GREEK SMALL LETTER EPSILON
Ε	1278	U+0395	GREEK CAPITAL LETTER EPSILON
έ	16321	U+03AD	GREEK SMALL LETTER EPSILON WITH TONOS
Έ	241	U+0388	GREEK CAPITAL LETTER EPSILON WITH TONOS
ζ	2676	U+03B6	GREEK SMALL LETTER ZETA
Ζ	49	U+0396	GREEK CAPITAL LETTER ZETA
η	18060	U+03B7	GREEK SMALL LETTER ETA
Η	231	U+0397	GREEK CAPITAL LETTER ETA
ή	9724	U+03AE	GREEK SMALL LETTER ETA WITH TONOS
Ή	85	U+0389	GREEK CAPITAL LETTER ETA WITH TONOS
θ	10085	U+03B8	GREEK SMALL LETTER THETA
Θ	1490	U+0398	GREEK CAPITAL LETTER THETA
ι	48501	U+03B9	GREEK SMALL LETTER IOTA
Ι	2041	U+0399	GREEK CAPITAL LETTER IOTA
ί	20155	U+03AF	GREEK SMALL LETTER IOTA WITH TONOS
ϊ	89	U+03CA	GREEK SMALL LETTER IOTA WITH DIALYTIKA
ΐ	1	U+0390	GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
κ	25059	U+03BA	GREEK SMALL LETTER KAPPA
Κ	4064	U+039A	GREEK CAPITAL LETTER KAPPA
λ	19077	U+03BB	GREEK SMALL LETTER LAMDA
Λ	165	U+039B	GREEK CAPITAL LETTER LAMDA
μ	22941	U+03BC	GREEK SMALL LETTER MU
Μ	630	U+039C	GREEK CAPITAL LETTER MU
ν	50475	U+03BD	GREEK SMALL LETTER NU
Ν	211	U+039D	GREEK CAPITAL LETTER NU
ξ	2525	U+03BE	GREEK SMALL LETTER XI
Ξ	35	U+039E	GREEK CAPITAL LETTER XI
ο	64275	U+03BF	GREEK SMALL LETTER OMICRON
Ο	586	U+039F	GREEK CAPITAL LETTER OMICRON
ό	18924	U+03CC	GREEK SMALL LETTER OMICRON WITH TONOS
Ό	300	U+038C	GREEK CAPITAL LETTER OMICRON WITH TONOS
π	28159	U+03C0	GREEK SMALL LETTER PI
Π	1403	U+03A0	GREEK CAPITAL LETTER PI
ρ	26218	U+03C1	GREEK SMALL LETTER RHO
Ρ	93	U+03A1	GREEK CAPITAL LETTER RHO
σ	33507	U+03C3	GREEK SMALL LETTER SIGMA
Σ	722	U+03A3	GREEK CAPITAL LETTER SIGMA
ς	27421	U+03C2	GREEK SMALL LETTER FINAL SIGMA
τ	56634	U+03C4	GREEK SMALL LETTER TAU
Τ	649	U+03A4	GREEK CAPITAL LETTER TAU
υ	25818	U+03C5	GREEK SMALL LETTER UPSILON
Υ	314	U+03A5	GREEK CAPITAL LETTER UPSILON
ύ	12836	U+03CD	GREEK SMALL LETTER UPSILON WITH TONOS
Ύ	19	U+038E	GREEK CAPITAL LETTER UPSILON WITH TONOS
ϋ	9	U+03CB	GREEK SMALL LETTER UPSILON WITH DIALYTIKA
φ	5401	U+03C6	GREEK SMALL LETTER PHI
Φ	245	U+03A6	GREEK CAPITAL LETTER PHI
χ	6281	U+03C7	GREEK SMALL LETTER CHI
Χ	642	U+03A7	GREEK CAPITAL LETTER CHI
ψ	1019	U+03C8	GREEK SMALL LETTER PSI
Ψ	9	U+03A8	GREEK CAPITAL LETTER PSI
ω	9181	U+03C9	GREEK SMALL LETTER OMEGA
Ω	51	U+03A9	GREEK CAPITAL LETTER OMEGA
ώ	5576	U+03CE	GREEK SMALL LETTER OMEGA WITH TONOS
Ώ	27	U+038F	GREEK CAPITAL LETTER OMEGA WITH TONOS
