Grapheme	Frequency	Codepoint	UnicodeName
 	331359	U+0020	SPACE
-	4	U+002D	HYPHEN-MINUS
,	21525	U+002C	COMMA
;	3	U+003B	SEMICOLON
:	2697	U+003A	COLON
!	638	U+0021	EXCLAMATION MARK
?	1176	U+003F	QUESTION MARK
.	16411	U+002E	FULL STOP
“	416	U+201C	LEFT DOUBLE QUOTATION MARK
”	416	U+201D	RIGHT DOUBLE QUOTATION MARK
«	2514	U+00AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
»	2185	U+00BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
(	8	U+0028	LEFT PARENTHESIS
)	8	U+0029	RIGHT PARENTHESIS
[	20	U+005B	LEFT SQUARE BRACKET
]	20	U+005D	RIGHT SQUARE BRACKET
0	44	U+0030	DIGIT ZERO
1	14	U+0031	DIGIT ONE
2	13	U+0032	DIGIT TWO
3	1	U+0033	DIGIT THREE
4	5	U+0034	DIGIT FOUR
a	223091	U+0061	LATIN SMALL LETTER A
A	4720	U+0041	LATIN CAPITAL LETTER A
â	2742	U+0061, U+0302	LATIN SMALL LETTER A, COMBINING CIRCUMFLEX ACCENT
b	24101	U+0062	LATIN SMALL LETTER B
B	1563	U+0042	LATIN CAPITAL LETTER B
ɓ	1210	U+0253	LATIN SMALL LETTER B WITH HOOK
Ɓ	33	U+0181	LATIN CAPITAL LETTER B WITH HOOK
d	31118	U+0064	LATIN SMALL LETTER D
D	506	U+0044	LATIN CAPITAL LETTER D
ɗ	15433	U+0257	LATIN SMALL LETTER D WITH HOOK
Ɗ	429	U+018A	LATIN CAPITAL LETTER D WITH HOOK
e	93661	U+0065	LATIN SMALL LETTER E
E	223	U+0045	LATIN CAPITAL LETTER E
ə	77694	U+0259	LATIN SMALL LETTER SCHWA
f	5951	U+0066	LATIN SMALL LETTER F
F	506	U+0046	LATIN CAPITAL LETTER F
g	26292	U+0067	LATIN SMALL LETTER G
G	623	U+0047	LATIN CAPITAL LETTER G
h	31421	U+0068	LATIN SMALL LETTER H
H	869	U+0048	LATIN CAPITAL LETTER H
i	32390	U+0069	LATIN SMALL LETTER I
I	184	U+0049	LATIN CAPITAL LETTER I
ɨ	243	U+0268	LATIN SMALL LETTER I WITH STROKE
k	39595	U+006B	LATIN SMALL LETTER K
K	2531	U+004B	LATIN CAPITAL LETTER K
l	33443	U+006C	LATIN SMALL LETTER L
L	317	U+004C	LATIN CAPITAL LETTER L
m	50380	U+006D	LATIN SMALL LETTER M
M	7732	U+004D	LATIN CAPITAL LETTER M
n	55085	U+006E	LATIN SMALL LETTER N
N	4151	U+004E	LATIN CAPITAL LETTER N
ŋ	15159	U+014B	LATIN SMALL LETTER ENG
Ŋ	259	U+014A	LATIN CAPITAL LETTER ENG
o	21491	U+006F	LATIN SMALL LETTER O
O	16	U+004F	LATIN CAPITAL LETTER O
œ	218	U+0153	LATIN SMALL LIGATURE OE
p	4220	U+0070	LATIN SMALL LETTER P
P	972	U+0050	LATIN CAPITAL LETTER P
r	27869	U+0072	LATIN SMALL LETTER R
R	139	U+0052	LATIN CAPITAL LETTER R
s	26065	U+0073	LATIN SMALL LETTER S
S	816	U+0053	LATIN CAPITAL LETTER S
t	40727	U+0074	LATIN SMALL LETTER T
T	3336	U+0054	LATIN CAPITAL LETTER T
u	24605	U+0075	LATIN SMALL LETTER U
U	2	U+0055	LATIN CAPITAL LETTER U
v	5940	U+0076	LATIN SMALL LETTER V
V	31	U+0056	LATIN CAPITAL LETTER V
w	30047	U+0077	LATIN SMALL LETTER W
W	819	U+0057	LATIN CAPITAL LETTER W
y	80794	U+0079	LATIN SMALL LETTER Y
Y	3981	U+0059	LATIN CAPITAL LETTER Y
z	18039	U+007A	LATIN SMALL LETTER Z
Z	484	U+005A	LATIN CAPITAL LETTER Z
ʼ	104	U+02BC	MODIFIER LETTER APOSTROPHE
