Grapheme	Frequency	Codepoint	UnicodeName
 	218139	U+0020	SPACE
-	1819	U+002D	HYPHEN-MINUS
,	15103	U+002C	COMMA
;	1361	U+003B	SEMICOLON
:	2196	U+003A	COLON
!	265	U+0021	EXCLAMATION MARK
¡	265	U+00A1	INVERTED EXCLAMATION MARK
?	994	U+003F	QUESTION MARK
¿	994	U+00BF	INVERTED QUESTION MARK
.	7926	U+002E	FULL STOP
'	45980	U+0027	APOSTROPHE
‘	2	U+2018	LEFT SINGLE QUOTATION MARK
’	2	U+2019	RIGHT SINGLE QUOTATION MARK
(	255	U+0028	LEFT PARENTHESIS
)	255	U+0029	RIGHT PARENTHESIS
[	1	U+005B	LEFT SQUARE BRACKET
]	1	U+005D	RIGHT SQUARE BRACKET
0	246	U+0030	DIGIT ZERO
1	93	U+0031	DIGIT ONE
2	60	U+0032	DIGIT TWO
3	17	U+0033	DIGIT THREE
4	49	U+0034	DIGIT FOUR
5	21	U+0035	DIGIT FIVE
6	13	U+0036	DIGIT SIX
7	8	U+0037	DIGIT SEVEN
8	6	U+0038	DIGIT EIGHT
9	8	U+0039	DIGIT NINE
a	123619	U+0061	LATIN SMALL LETTER A
A	1025	U+0041	LATIN CAPITAL LETTER A
á	279	U+00E1	LATIN SMALL LETTER A WITH ACUTE
b	24332	U+0062	LATIN SMALL LETTER B
B	616	U+0042	LATIN CAPITAL LETTER B
c	74844	U+0063	LATIN SMALL LETTER C
C	2326	U+0043	LATIN CAPITAL LETTER C
d	1775	U+0064	LATIN SMALL LETTER D
D	2097	U+0044	LATIN CAPITAL LETTER D
e	69842	U+0065	LATIN SMALL LETTER E
E	421	U+0045	LATIN CAPITAL LETTER E
é	415	U+00E9	LATIN SMALL LETTER E WITH ACUTE
É	22	U+00C9	LATIN CAPITAL LETTER E WITH ACUTE
f	299	U+0066	LATIN SMALL LETTER F
F	91	U+0046	LATIN CAPITAL LETTER F
g	827	U+0067	LATIN SMALL LETTER G
G	107	U+0047	LATIN CAPITAL LETTER G
h	43323	U+0068	LATIN SMALL LETTER H
H	2340	U+0048	LATIN CAPITAL LETTER H
i	66449	U+0069	LATIN SMALL LETTER I
I	286	U+0049	LATIN CAPITAL LETTER I
í	847	U+00ED	LATIN SMALL LETTER I WITH ACUTE
Í	4	U+00CD	LATIN CAPITAL LETTER I WITH ACUTE
j	16325	U+006A	LATIN SMALL LETTER J
J	2653	U+004A	LATIN CAPITAL LETTER J
k	1	U+006B	LATIN SMALL LETTER K
l	59388	U+006C	LATIN SMALL LETTER L
L	1003	U+004C	LATIN CAPITAL LETTER L
m	18456	U+006D	LATIN SMALL LETTER M
M	1176	U+004D	LATIN CAPITAL LETTER M
n	41645	U+006E	LATIN SMALL LETTER N
N	281	U+004E	LATIN CAPITAL LETTER N
ñ	112	U+00F1	LATIN SMALL LETTER N WITH TILDE
o	44048	U+006F	LATIN SMALL LETTER O
O	124	U+004F	LATIN CAPITAL LETTER O
ó	413	U+00F3	LATIN SMALL LETTER O WITH ACUTE
p	11147	U+0070	LATIN SMALL LETTER P
P	1249	U+0050	LATIN CAPITAL LETTER P
q	6966	U+0071	LATIN SMALL LETTER Q
Q	100	U+0051	LATIN CAPITAL LETTER Q
r	7101	U+0072	LATIN SMALL LETTER R
R	53	U+0052	LATIN CAPITAL LETTER R
s	40425	U+0073	LATIN SMALL LETTER S
S	986	U+0053	LATIN CAPITAL LETTER S
t	77111	U+0074	LATIN SMALL LETTER T
T	2541	U+0054	LATIN CAPITAL LETTER T
u	44923	U+0075	LATIN SMALL LETTER U
U	21	U+0055	LATIN CAPITAL LETTER U
ú	1383	U+00FA	LATIN SMALL LETTER U WITH ACUTE
Ú	5	U+00DA	LATIN CAPITAL LETTER U WITH ACUTE
v	207	U+0076	LATIN SMALL LETTER V
V	2	U+0056	LATIN CAPITAL LETTER V
w	7154	U+0077	LATIN SMALL LETTER W
W	60	U+0057	LATIN CAPITAL LETTER W
x	13908	U+0078	LATIN SMALL LETTER X
X	51	U+0058	LATIN CAPITAL LETTER X
y	38675	U+0079	LATIN SMALL LETTER Y
Y	692	U+0059	LATIN CAPITAL LETTER Y
z	221	U+007A	LATIN SMALL LETTER Z
Z	43	U+005A	LATIN CAPITAL LETTER Z
