Grapheme	Frequency	Codepoint	UnicodeName
 	493965	U+0020	SPACE
-	3725	U+002D	HYPHEN-MINUS
—	8168	U+2014	EM DASH
,	41003	U+002C	COMMA
;	140	U+003B	SEMICOLON
:	6873	U+003A	COLON
!	2017	U+0021	EXCLAMATION MARK
?	2507	U+003F	QUESTION MARK
.	33273	U+002E	FULL STOP
'	151713	U+0027	APOSTROPHE
“	376	U+201C	LEFT DOUBLE QUOTATION MARK
„	376	U+201E	DOUBLE LOW-9 QUOTATION MARK
«	2627	U+00AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
»	2625	U+00BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
(	12	U+0028	LEFT PARENTHESIS
)	12	U+0029	RIGHT PARENTHESIS
[	1	U+005B	LEFT SQUARE BRACKET
]	1	U+005D	RIGHT SQUARE BRACKET
0	300	U+0030	DIGIT ZERO
1	572	U+0031	DIGIT ONE
2	124	U+0032	DIGIT TWO
3	96	U+0033	DIGIT THREE
4	73	U+0034	DIGIT FOUR
5	91	U+0035	DIGIT FIVE
6	66	U+0036	DIGIT SIX
7	77	U+0037	DIGIT SEVEN
8	30	U+0038	DIGIT EIGHT
9	16	U+0039	DIGIT NINE
a	358786	U+0061	LATIN SMALL LETTER A
A	6225	U+0041	LATIN CAPITAL LETTER A
b	60577	U+0062	LATIN SMALL LETTER B
B	6654	U+0042	LATIN CAPITAL LETTER B
d	110117	U+0064	LATIN SMALL LETTER D
D	2224	U+0044	LATIN CAPITAL LETTER D
e	188401	U+0065	LATIN SMALL LETTER E
E	4775	U+0045	LATIN CAPITAL LETTER E
f	1553	U+0066	LATIN SMALL LETTER F
F	218	U+0046	LATIN CAPITAL LETTER F
g	64174	U+0067	LATIN SMALL LETTER G
G	1175	U+0047	LATIN CAPITAL LETTER G
h	56047	U+0068	LATIN SMALL LETTER H
H	1783	U+0048	LATIN CAPITAL LETTER H
i	165393	U+0069	LATIN SMALL LETTER I
I	190	U+0049	LATIN CAPITAL LETTER I
İ	11078	U+0130	LATIN CAPITAL LETTER I WITH DOT ABOVE
ı	191638	U+0131	LATIN SMALL LETTER DOTLESS I
j	28129	U+006A	LATIN SMALL LETTER J
J	6246	U+004A	LATIN CAPITAL LETTER J
k	40411	U+006B	LATIN SMALL LETTER K
K	1943	U+004B	LATIN CAPITAL LETTER K
l	162781	U+006C	LATIN SMALL LETTER L
L	609	U+004C	LATIN CAPITAL LETTER L
m	72793	U+006D	LATIN SMALL LETTER M
M	8033	U+004D	LATIN CAPITAL LETTER M
n	227365	U+006E	LATIN SMALL LETTER N
N	1448	U+004E	LATIN CAPITAL LETTER N
o	66833	U+006F	LATIN SMALL LETTER O
O	9683	U+004F	LATIN CAPITAL LETTER O
p	46448	U+0070	LATIN SMALL LETTER P
P	1857	U+0050	LATIN CAPITAL LETTER P
q	70464	U+0071	LATIN SMALL LETTER Q
Q	5968	U+0051	LATIN CAPITAL LETTER Q
r	144784	U+0072	LATIN SMALL LETTER R
R	1220	U+0052	LATIN CAPITAL LETTER R
s	118703	U+0073	LATIN SMALL LETTER S
S	11828	U+0053	LATIN CAPITAL LETTER S
t	95361	U+0074	LATIN SMALL LETTER T
T	1597	U+0054	LATIN CAPITAL LETTER T
u	68661	U+0075	LATIN SMALL LETTER U
U	1381	U+0055	LATIN CAPITAL LETTER U
v	447	U+0076	LATIN SMALL LETTER V
V	9	U+0056	LATIN CAPITAL LETTER V
w	28111	U+0077	LATIN SMALL LETTER W
W	82	U+0057	LATIN CAPITAL LETTER W
x	11773	U+0078	LATIN SMALL LETTER X
X	2007	U+0058	LATIN CAPITAL LETTER X
y	65136	U+0079	LATIN SMALL LETTER Y
Y	3004	U+0059	LATIN CAPITAL LETTER Y
z	40416	U+007A	LATIN SMALL LETTER Z
Z	503	U+005A	LATIN CAPITAL LETTER Z
