Grapheme	Frequency	Codepoint	UnicodeName
 	1100956	U+0020	SPACE
-	294	U+002D	HYPHEN-MINUS
,	62129	U+002C	COMMA
;	322	U+003B	SEMICOLON
:	16	U+003A	COLON
!	239	U+0021	EXCLAMATION MARK
?	3199	U+003F	QUESTION MARK
.	31770	U+002E	FULL STOP
‘	25	U+2018	LEFT SINGLE QUOTATION MARK
’	23	U+2019	RIGHT SINGLE QUOTATION MARK
“	6939	U+201C	LEFT DOUBLE QUOTATION MARK
”	5793	U+201D	RIGHT DOUBLE QUOTATION MARK
(	21	U+0028	LEFT PARENTHESIS
)	23	U+0029	RIGHT PARENTHESIS
0	6	U+0030	DIGIT ZERO
1	3	U+0031	DIGIT ONE
2	4	U+0032	DIGIT TWO
3	1	U+0033	DIGIT THREE
4	3	U+0034	DIGIT FOUR
5	4	U+0035	DIGIT FIVE
6	4	U+0036	DIGIT SIX
7	1	U+0037	DIGIT SEVEN
8	2	U+0038	DIGIT EIGHT
a	630054	U+0061	LATIN SMALL LETTER A
A	12368	U+0041	LATIN CAPITAL LETTER A
b	25736	U+0062	LATIN SMALL LETTER B
B	2111	U+0042	LATIN CAPITAL LETTER B
c	33575	U+0063	LATIN SMALL LETTER C
C	6806	U+0043	LATIN CAPITAL LETTER C
d	47123	U+0064	LATIN SMALL LETTER D
D	1991	U+0044	LATIN CAPITAL LETTER D
e	261876	U+0065	LATIN SMALL LETTER E
E	2579	U+0045	LATIN CAPITAL LETTER E
f	734	U+0066	LATIN SMALL LETTER F
F	28	U+0046	LATIN CAPITAL LETTER F
g	160971	U+0067	LATIN SMALL LETTER G
G	2411	U+0047	LATIN CAPITAL LETTER G
h	275318	U+0068	LATIN SMALL LETTER H
H	2108	U+0048	LATIN CAPITAL LETTER H
i	396800	U+0069	LATIN SMALL LETTER I
I	3735	U+0049	LATIN CAPITAL LETTER I
j	12284	U+006A	LATIN SMALL LETTER J
J	712	U+004A	LATIN CAPITAL LETTER J
k	268862	U+006B	LATIN SMALL LETTER K
K	10331	U+004B	LATIN CAPITAL LETTER K
l	62811	U+006C	LATIN SMALL LETTER L
L	1349	U+004C	LATIN CAPITAL LETTER L
m	162692	U+006D	LATIN SMALL LETTER M
M	10957	U+004D	LATIN CAPITAL LETTER M
n	276205	U+006E	LATIN SMALL LETTER N
N	9091	U+004E	LATIN CAPITAL LETTER N
o	132281	U+006F	LATIN SMALL LETTER O
O	141	U+004F	LATIN CAPITAL LETTER O
p	126011	U+0070	LATIN SMALL LETTER P
P	7020	U+0050	LATIN CAPITAL LETTER P
r	70540	U+0072	LATIN SMALL LETTER R
R	974	U+0052	LATIN CAPITAL LETTER R
s	67011	U+0073	LATIN SMALL LETTER S
S	17801	U+0053	LATIN CAPITAL LETTER S
t	113228	U+0074	LATIN SMALL LETTER T
T	1232	U+0054	LATIN CAPITAL LETTER T
u	201107	U+0075	LATIN SMALL LETTER U
U	173	U+0055	LATIN CAPITAL LETTER U
v	17499	U+0076	LATIN SMALL LETTER V
V	1751	U+0056	LATIN CAPITAL LETTER V
w	139445	U+0077	LATIN SMALL LETTER W
W	13	U+0057	LATIN CAPITAL LETTER W
x	236651	U+0078	LATIN SMALL LETTER X
X	13	U+0058	LATIN CAPITAL LETTER X
y	50923	U+0079	LATIN SMALL LETTER Y
Y	9477	U+0059	LATIN CAPITAL LETTER Y
z	1641	U+007A	LATIN SMALL LETTER Z
Z	908	U+005A	LATIN CAPITAL LETTER Z
