Grapheme	Frequency	Codepoint	UnicodeName
 	192477	U+0020	SPACE
-	2	U+002D	HYPHEN-MINUS
,	9754	U+002C	COMMA
;	1	U+003B	SEMICOLON
?	1065	U+003F	QUESTION MARK
.	16266	U+002E	FULL STOP
‘	409	U+2018	LEFT SINGLE QUOTATION MARK
’	406	U+2019	RIGHT SINGLE QUOTATION MARK
“	2081	U+201C	LEFT DOUBLE QUOTATION MARK
”	2076	U+201D	RIGHT DOUBLE QUOTATION MARK
(	73	U+0028	LEFT PARENTHESIS
)	73	U+0029	RIGHT PARENTHESIS
0	49	U+0030	DIGIT ZERO
1	27	U+0031	DIGIT ONE
2	37	U+0032	DIGIT TWO
3	15	U+0033	DIGIT THREE
4	46	U+0034	DIGIT FOUR
5	18	U+0035	DIGIT FIVE
6	16	U+0036	DIGIT SIX
7	8	U+0037	DIGIT SEVEN
8	3	U+0038	DIGIT EIGHT
9	9	U+0039	DIGIT NINE
a	57094	U+0061	LATIN SMALL LETTER A
A	3887	U+0041	LATIN CAPITAL LETTER A
â	123506	U+00E2	LATIN SMALL LETTER A WITH CIRCUMFLEX
Â	206	U+00C2	LATIN CAPITAL LETTER A WITH CIRCUMFLEX
b	21761	U+0062	LATIN SMALL LETTER B
B	641	U+0042	LATIN CAPITAL LETTER B
d	16094	U+0064	LATIN SMALL LETTER D
D	639	U+0044	LATIN CAPITAL LETTER D
e	42987	U+0065	LATIN SMALL LETTER E
E	164	U+0045	LATIN CAPITAL LETTER E
g	34040	U+0067	LATIN SMALL LETTER G
G	884	U+0047	LATIN CAPITAL LETTER G
h	2083	U+0068	LATIN SMALL LETTER H
H	330	U+0048	LATIN CAPITAL LETTER H
i	64452	U+0069	LATIN SMALL LETTER I
I	553	U+0049	LATIN CAPITAL LETTER I
k	37107	U+006B	LATIN SMALL LETTER K
K	3625	U+004B	LATIN CAPITAL LETTER K
l	10002	U+006C	LATIN SMALL LETTER L
L	144	U+004C	LATIN CAPITAL LETTER L
m	45499	U+006D	LATIN SMALL LETTER M
M	871	U+004D	LATIN CAPITAL LETTER M
n	61118	U+006E	LATIN SMALL LETTER N
N	2091	U+004E	LATIN CAPITAL LETTER N
ŋ	48365	U+014B	LATIN SMALL LETTER ENG
Ŋ	343	U+014A	LATIN CAPITAL LETTER ENG
o	33467	U+006F	LATIN SMALL LETTER O
O	3065	U+004F	LATIN CAPITAL LETTER O
p	28850	U+0070	LATIN SMALL LETTER P
P	1159	U+0050	LATIN CAPITAL LETTER P
r	19209	U+0072	LATIN SMALL LETTER R
R	149	U+0052	LATIN CAPITAL LETTER R
s	23247	U+0073	LATIN SMALL LETTER S
S	1557	U+0053	LATIN CAPITAL LETTER S
t	45571	U+0074	LATIN SMALL LETTER T
T	483	U+0054	LATIN CAPITAL LETTER T
u	33982	U+0075	LATIN SMALL LETTER U
U	231	U+0055	LATIN CAPITAL LETTER U
w	7578	U+0077	LATIN SMALL LETTER W
W	187	U+0057	LATIN CAPITAL LETTER W
y	4308	U+0079	LATIN SMALL LETTER Y
Y	3982	U+0059	LATIN CAPITAL LETTER Y
z	25775	U+007A	LATIN SMALL LETTER Z
Z	3574	U+005A	LATIN CAPITAL LETTER Z
