Grapheme	Frequency	Codepoint	UnicodeName
 	207638	U+0020	SPACE
-	163	U+002D	HYPHEN-MINUS
—	1	U+2014	EM DASH
,	11499	U+002C	COMMA
;	228	U+003B	SEMICOLON
:	256	U+003A	COLON
!	933	U+0021	EXCLAMATION MARK
?	969	U+003F	QUESTION MARK
.	10466	U+002E	FULL STOP
‘	411	U+2018	LEFT SINGLE QUOTATION MARK
’	2578	U+2019	RIGHT SINGLE QUOTATION MARK
“	2492	U+201C	LEFT DOUBLE QUOTATION MARK
”	2079	U+201D	RIGHT DOUBLE QUOTATION MARK
(	132	U+0028	LEFT PARENTHESIS
)	132	U+0029	RIGHT PARENTHESIS
[	2	U+005B	LEFT SQUARE BRACKET
]	2	U+005D	RIGHT SQUARE BRACKET
0	138	U+0030	DIGIT ZERO
1	26	U+0031	DIGIT ONE
2	25	U+0032	DIGIT TWO
3	4	U+0033	DIGIT THREE
4	18	U+0034	DIGIT FOUR
5	12	U+0035	DIGIT FIVE
6	7	U+0036	DIGIT SIX
7	3	U+0037	DIGIT SEVEN
8	3	U+0038	DIGIT EIGHT
9	1	U+0039	DIGIT NINE
a	55130	U+0061	LATIN SMALL LETTER A
A	2202	U+0041	LATIN CAPITAL LETTER A
b	10163	U+0062	LATIN SMALL LETTER B
B	1287	U+0042	LATIN CAPITAL LETTER B
c	13611	U+0063	LATIN SMALL LETTER C
C	881	U+0043	LATIN CAPITAL LETTER C
d	34040	U+0064	LATIN SMALL LETTER D
D	463	U+0044	LATIN CAPITAL LETTER D
e	100563	U+0065	LATIN SMALL LETTER E
E	308	U+0045	LATIN CAPITAL LETTER E
é	4	U+00E9	LATIN SMALL LETTER E WITH ACUTE
f	15085	U+0066	LATIN SMALL LETTER F
F	983	U+0046	LATIN CAPITAL LETTER F
g	14002	U+0067	LATIN SMALL LETTER G
G	2618	U+0047	LATIN CAPITAL LETTER G
h	51277	U+0068	LATIN SMALL LETTER H
H	1130	U+0048	LATIN CAPITAL LETTER H
i	45874	U+0069	LATIN SMALL LETTER I
I	3310	U+0049	LATIN CAPITAL LETTER I
j	782	U+006A	LATIN SMALL LETTER J
J	2491	U+004A	LATIN CAPITAL LETTER J
k	4817	U+006B	LATIN SMALL LETTER K
K	216	U+004B	LATIN CAPITAL LETTER K
l	30199	U+006C	LATIN SMALL LETTER L
L	1046	U+004C	LATIN CAPITAL LETTER L
m	17421	U+006D	LATIN SMALL LETTER M
M	755	U+004D	LATIN CAPITAL LETTER M
n	47856	U+006E	LATIN SMALL LETTER N
N	518	U+004E	LATIN CAPITAL LETTER N
o	63425	U+006F	LATIN SMALL LETTER O
O	327	U+004F	LATIN CAPITAL LETTER O
p	12034	U+0070	LATIN SMALL LETTER P
P	919	U+0050	LATIN CAPITAL LETTER P
q	273	U+0071	LATIN SMALL LETTER Q
Q	5	U+0051	LATIN CAPITAL LETTER Q
r	43367	U+0072	LATIN SMALL LETTER R
R	201	U+0052	LATIN CAPITAL LETTER R
s	48626	U+0073	LATIN SMALL LETTER S
S	2067	U+0053	LATIN CAPITAL LETTER S
t	64499	U+0074	LATIN SMALL LETTER T
T	2853	U+0054	LATIN CAPITAL LETTER T
u	23771	U+0075	LATIN SMALL LETTER U
U	33	U+0055	LATIN CAPITAL LETTER U
v	8872	U+0076	LATIN SMALL LETTER V
V	6	U+0056	LATIN CAPITAL LETTER V
w	19884	U+0077	LATIN SMALL LETTER W
W	1158	U+0057	LATIN CAPITAL LETTER W
x	580	U+0078	LATIN SMALL LETTER X
y	17650	U+0079	LATIN SMALL LETTER Y
Y	649	U+0059	LATIN CAPITAL LETTER Y
z	451	U+007A	LATIN SMALL LETTER Z
Z	49	U+005A	LATIN CAPITAL LETTER Z
